id,name,title,start_date,end_date,organization_exit_date,price,exit,top_syndicate,person_id,funding_amount,candidate_id
178155,Trym,Co-founder and CTO,2016-01-01,2017-02-01,,,false,[],92128,0.125,
109320,trym,Co-founder and CTO,,,,0.0,false,[],92128,0.0,
109321,intrakr,Founder & CEO,,,,0.0,false,[],92128,0.0,
109326,Persosa,Co-Founder,,,,,false,[],92128,0.55,30826
109323,lifelock,"Senior Director, Digital Marketing",,,,776.775267,true,[],92129,201.0,
109325,parchment,"VP, Marketing",,,,0.0,false,[],92129,66.0,
109327,Persosa,Co-Founder,,,,,false,[],92129,0.55,30826
109324,henkel,"Brand Manager, Dial Innovation",,,,0.0,false,[],92129,0.0,
178158,LifeLock,"Senior Director, Digital Marketing",2010-04-01,2013-09-01,2013-10-03,2300.0,true,"[""bessemer-venture-partners"", ""kleiner-perkins-caufield-byers""]",92129,201.34,
178159,Henkel,"Brand Manager, Dial Innovation",2006-02-01,,1985-10-11,0.0,true,[],92129,0.0,
178160,Parchment,"VP, Marketing",2014-06-01,,,,false,[],92129,66.049988,
178157,Persosa,"CMO, Co-founder",2017-03-01,,,,false,[],92129,0.7,
109341,Dogan.AI,Founder,,,,,false,[],92142,0.0,30829
109342,the-execranks,ADvisor,,,,0.0,false,[],92143,0.0,
109343,ignite-social-media,President,,,,0.0,false,[],92143,0.0,
109353,Carusele,Co-Founder,,,,,false,[],92143,0.75,30851
109347,collective-bias,Founder & CEO,,,,0.0,true,[],92144,10.0,
109350,photofy,CEO,,,,0.0,false,[],92144,1.0,
109344,walmart,Sr. Manager _ Emerging Media,,,,0.0,true,[],92144,0.0,
109346,implus-footcare-llc,Vice President of Marketing,,,,0.0,false,[],92144,0.0,
109348,ignite-social-media,CMO,,,,0.0,false,[],92144,0.0,
109349,cusac-co,Advisor,,,,0.0,false,[],92144,0.0,
109351,goodxchange,Fractional CMO,,,,0.0,false,[],92144,0.0,
109345,prevailing-path,Co-Founder,,,,0.0,false,[],92144,0.0,
109352,the-katadhin-company,Co-Founder and President,,,,0.0,false,[],92144,0.0,
109354,Carusele,Co-Founder,,,,,false,[],92144,0.75,30851
109386,SameDayCustom,Founder,,,,,false,[],92175,0.25,30957
109397,Upflex,Co-Founder,,,,,false,[],92178,4.1,30961
150001,Totsy,Co-Founder - President & CMO,2009-06-02,2012-09-01,,,false,[],92179,29.5,
150000,Spark Labs,Founder & CEO,2013-01-16,,,,false,[],92179,0.0,
150002,mSmart,Founder & Member of the Board,2006-07-06,2012-08-18,,,false,[],92179,0.0,
150003,Enpocket,"Director, Business Development",2003-10-01,2004-05-01,2007-10-08,100.0,true,[],92179,15.2,
150004,Mobile 365,Business Development Manager,2000-10-01,2003-10-01,2006-09-06,425.0,true,[],92179,23.0,
109393,totsy,Co-Founder - President & CMO,,,,0.0,false,[],92179,29.0,
109391,confiant,Advisory Board Member,,,,0.0,false,[],92179,4.0,
109395,enpocket,"Director, Business Development",,,,100.0,true,[],92179,15.0,
109396,mobile-365,Business Development Manager,,,,425.0,true,[],92179,23.0,
109392,parentify,Member of the Board,,,,0.0,false,[],92179,0.0,
109390,sparklabs-ventures,Founder & CEO,,,,0.0,false,[],92179,0.0,
109394,msmart,Founder & Member of the Board,,,,0.0,false,[],92179,0.0,
109398,Upflex,Co-Founder,,,,,false,[],92179,4.1,30961
109389,mia,Founder & CEO,2004-05-14,2006-07-16,,,false,[],92179,0.0,
203007,Upflex,Co-Founder & CEO,2018-01-01,,,,false,[],92179,5.7,
109399,Flutin,Co-Founder,,,,,false,[],92180,0.325,30972
195306,Flutin,Founder,,,,,false,[],92180,0.825,
109400,Flutin,Co-Founder,,,,,false,[],92181,0.325,30972
195308,Flutin,Founder & CEO,,,,,false,[],92181,0.825,
109401,Flutin,Co-Founder,,,,,false,[],92182,0.325,30972
195307,Flutin,Founder,,,,,false,[],92182,0.825,
109405,Capienda Biotech,Founder,,,,,false,[],92186,0.0,30984
109409,stanford-university,Provost & Patrick Suppes Family Professor in the School of Humanities and Sciences,,,,0.0,false,[],92188,5.0,
109410,stanford-university,"Senior Researcher, Center for the Study of Language and Information",,,,0.0,false,[],92188,5.0,
109411,infosys,Independent Director,,,,0.0,true,[],92188,200.0,
109412,stanford-university,Faculty Member of the Symbolic Systems Program,,,,0.0,false,[],92188,5.0,
109413,princeton-university,Faculty,,,,0.0,false,[],92188,2.0,
109422,Stanford Institute for Human-Centered Artificial Intelligence,Co-Founder,,,,,false,[],92188,0.0,30986
109470,YEStaurants,Founder,,,,,false,[],92236,0.0,31049
109471,bunker-glam,COO,,,,0.0,false,[],92237,0.0,
109472,bunker-glam,CEO,,,,0.0,false,[],92237,0.0,
109473,kitzen,Partner,,,,0.0,false,[],92237,0.0,
109474,axan,Analist,,,,0.0,false,[],92237,0.0,
109475,mycashless,Founder,,,,,false,[],92237,0.0,31050
185447,Bunker Glam,CEO,2013-01-01,,,,false,[],92237,0.0,
185448,Axan,Analist,,,,,false,[],92237,0.0,
109518,Pavonis Interactive,Founder,,,,,false,[],92283,0.11175,31062
109532,Prismo Systems Inc.,Co-Founder,,,,,false,[],92300,0.0,31069
109531,juniper-networks,"Senior Vice President, Product Line Management",,,,1661.34557,true,[],92301,18.0,
109533,Prismo Systems Inc.,Co-Founder,,,,,false,[],92301,0.0,31069
109534,carson-groupp,Chief Marketing Officer,,,,0.0,false,[],92302,0.0,
109535,Mineral,Founder,,,,,false,[],92302,0.0,31071
109573,StoryBolt,Co-Founder,,,,,false,[],92339,0.35,31089
109572,treata-smart-solutions,CFO,,,,0.0,false,[],92340,0.0,
109574,StoryBolt,Co-Founder,,,,,false,[],92340,0.35,31089
195322,StoryBolt,COO,2018-03-01,,,,false,[],92340,0.35,
109579,Easy-Voice,Founder,,,,,false,[],92343,0.0,31146
109578,limelightnetworks,Senior Director of Strategic Global Accounts,,,,0.0,true,[],92343,130.0,
109580,Wieand Law Firm,Founder,,,,,false,[],92344,0.0,31147
