id,name,location,linkedin_url,twitter_url
91972,Erik Graber,,https://www.linkedin.com/in/grabererik/,
91973,Jim Manzi,,https://www.linkedin.com/in/jim-manzi-a06bb05/,
91975,Alex Beltrani,,,
91976,Jeremy Zaborowski,,,
91977,Alex Pavone,,,
91981,Praneet Sharma,,,
91982,Shailin Dhar,,https://www.linkedin.com/in/shailindhar/,
91988,Ryan Whytsell,,https://www.linkedin.com/in/ryan-whytsell-5aab64113/,
91989,Joe Alongi,,https://www.linkedin.com/in/collectedview/,
91990,Jake Laumann,,https://www.linkedin.com/in/jakelaumann,
91992,Marc Liesa,,,
91993,Yvonne Delarosa Green,,https://www.linkedin.com/in/yvonne-delarosa-green-42105a127/,
91994,Bret Adams,,,
91995,David Mittelman,,,
91996,Noelle Marcus,,https://www.linkedin.com/in/noelle-marcus-6b68b921/,
91998,Bryan Tracy,,https://www.linkedin.com/in/bryan-tracy-2239349/,
91999,Suzan Hernandez,,,
92000,Joseph Sueno,,https://www.linkedin.com/in/jay-sueno-359a274/,
92001,Ricardo Chen,,https://www.linkedin.com/in/ricardochen/,
92002,Nélida Gómez,,https://www.linkedin.com/in/nelidagomez/,
92003,Orlando Reyes,,https://www.linkedin.com/in/orlandoreyes/,
92004,Min Chen,,https://www.linkedin.com/in/amchen/,
77926,Rob Coleman,,https://www.linkedin.com/in/robertccoleman/,
77927,Andy McEvoy,,https://www.linkedin.com/in/andymcevoy/,
77928,Dave Coleman,,https://www.linkedin.com/in/davetcoleman/,
92008,Jeff Antle,,https://www.linkedin.com/in/antle-jeff-138153123/,
92009,Chris Laudando,,https://www.linkedin.com/in/laudando/,
92010,Steven Snyder,,https://www.linkedin.com/in/steven-snyder-41900314/,
92012,Tal Ben-Shahar,,https://www.linkedin.com/in/tal-ben-shahar-09943aa7/,
92013,Iain Gillespie,,https://www.linkedin.com/in/iaindgillespie/,
72515,Vinay Nair,,https://www.linkedin.com/in/vinay-nair-47390b/,
92014,Nick Picone,,https://www.linkedin.com/in/nickpicone/,
92015,Stan Wang,,https://www.linkedin.com/in/stanwang/,
92016,Marinna Madrid,,https://www.linkedin.com/in/marinna-madrid-phd-64bb2591/,
92017,Matthias Wagner,,https://www.linkedin.com/in/wagnerm/,
92018,Nabiha Saklayen,,https://www.linkedin.com/in/nabihasaklayen/,
92020,Ting Pau Oei,,https://www.linkedin.com/in/ting-pau-oei-28302b5/,
92021,Prateek Chopra,,https://www.linkedin.com/in/pratikchopra11/,
92022,Ali Mackani,,,
92023,Khaled Hussein,,,
92024,Heather Harmon,,https://www.linkedin.com/in/heatheraharmon/,
92025,Nico Salazar,,,
92026,Jason Jacobs,,https://www.linkedin.com/in/jjacobs22/,
92028,John Mansour,,https://www.linkedin.com/in/john-mansour-19a32821/,
92029,Pez Zarifian,,,
92030,Anita Sabeti,,,
92031,Ben Mansouri,,,
92032,Andrew Cooper,,https://www.linkedin.com/in/andrew-cooper-190800128/,
92033,Alex Schulze,,https://www.linkedin.com/in/alex-schulze-a62419145/,
92034,Vladyslav Morzhanov,,https://www.linkedin.com/in/vladmorzhanov/?originalSubdomain=ua,
92035,Victor Laushtan,,https://www.linkedin.com/in/victorlaushtan/,
92038,David Ebert,,https://www.linkedin.com/in/david-ebert-1885235/,
92039,David Bergendahl,,https://www.linkedin.com/in/davidbergendahl/,
92040,Benjamin Chester,,https://www.linkedin.com/in/benchester,
92041,Martin Greenberg,,https://www.linkedin.com/in/martingreenberg/,
92042,Terry Roemer,,https://www.linkedin.com/in/terry-roemer-4b1a39149/,
92043,Alex Rowland,,http://www.linkedin.com/in/alexrowland,
